DN;PN;Flange_Diameter;PCD;Holes;Hole_Diameter
15;PN6;80;55;4;11
15;PN10;95;65;4;14
15;PN16;95;65;4;14
15;PN25;95;65;4;14
15;PN40;95;65;4;14
50;PN6;140;100;4;18
50;PN10;165;125;4;18
50;PN16;165;125;4;18
50;PN25;165;125;4;18
50;PN40;165;125;4;18
100;PN6;190;145;4;18
100;PN10;220;180;8;18
100;PN16;220;180;8;18
100;PN25;235;190;8;22
100;PN40;235;190;8;22
150;PN6;245;200;8;18
150;PN10;285;240;8;22
150;PN16;285;240;8;22
150;PN25;300;250;8;26
150;PN40;300;250;8;26
200;PN6;300;260;8;18
200;PN10;340;295;8;22
200;PN16;340;295;12;22
200;PN25;360;310;12;26
200;PN40;375;320;12;30
250;PN6;375;320;12;22
250;PN10;395;350;12;22
250;PN16;405;355;12;26
250;PN25;425;370;12;30
250;PN40;450;385;12;33
300;PN6;440;375;12;22
300;PN10;445;400;12;22
300;PN16;460;410;12;26
300;PN25;485;430;16;30
300;PN40;515;450;16;33
